"county_fips","Date","totamt_any_3day","totamt_er_3day","admit_any_3day","admit_er_3day","all_er_3day","mort_3day","age_group"
13247,"30Jan2012",23943948.5170204,17947910.6314134,1617.96756662936,1115.90041920608,2721.60688852561,42.0938447190305,"age65"
18123,"07Feb2013",23189498.8454581,12558904.3469038,5250.89449501117,1777.75849947441,3876.72123240136,9.96578770602022,"age65"
6099,"16Aug2008",13577570.1229053,11050881.178642,3933.3348741139,1368.53969954135,4180.20848325074,144.864759539669,"age65"
40117,"14Jun2012",26973351.1373513,19280274.1587195,3197.55874164107,3196.55874164107,5506.02951368097,5.36661821731812,"age65"
41005,"17Apr2001",20398001.482671,32275380.9990549,2653.38920771099,698.078280106764,3255.93757010823,22.3938339286466,"age65"
25009,"11Nov2000",15804665.6282213,11145066.6391446,2618.94784072445,1347.9129037246,2481.26889425062,84.5655559770143,"age65"
49045,"17Mar2002",58248454.6915452,7389828.37348524,1996.23380630629,1573.39130376757,3332.14016721001,140.601988075718,"age65"
31027,"04Jul1999",45275855.9352227,19191886.8145505,859.369151435632,858.369151435632,4487.75695394939,49.2699792971168,"age65"
8057,"13Apr2009",57754892.5857361,7175741.21587456,3662.48411701246,2151.71235585335,4125.36964467803,55.5104422189791,"age65"
50023,"26Jul2003",52683109.3612302,12890157.4857474,3526.64243038267,2526.70379837502,3470.00299162272,47.0803737577601,"age65"
27049,"28May2006",35010496.2072081,21026344.6601673,3546.91222541522,1741.21075850652,5696.27049605427,20.2071316580006,"age65"
29125,"19Jun2010",28403391.3889764,19164987.2076776,3170.74030085004,1715.07990277334,3975.86779578663,157.923737638016,"age65"
37189,"19Jan2011",22629837.5059113,3595858.25610546,2359.96056722696,0,4713.1629028609,75.4168983166343,"age65"
9001,"02May2004",39811763.4894496,19497906.3784988,2472.24986308578,2029.7376545883,3927.6563485689,54.6412406652071,"age65"
55125,"17Feb2000",28706818.6313823,6221722.25143063,4493.72785555033,579.156472972013,2700.22654111045,26.9212855777285,"age65"
48183,"17May2011",26582368.1705323,8405391.2330514,2581.10957478904,1550.64482259775,4721.21237697838,21.2753305738636,"age65"
6057,"21Nov2002",51841039.7946701,23536597.0085914,4835.62646069842,487.207713654033,4157.53917002382,6.30192455402212,"age65"
16011,"26Aug2011",40086114.5570447,7959276.40527717,4181.51183681821,1066.83927449785,3545.68744426897,58.2237188743583,"age65"
18043,"04Jan2002",28925589.281727,4463620.88819202,1321.23350091194,1320.23350091194,5778.81342841945,3.89403047532632,"age65"
39103,"04Apr2011",39588067.3050815,12007396.946899,1831.87335041593,326.929513950018,3635.59079777925,144.356909087684,"age65"
6019,"22Oct2011",24806477.3268615,6207953.6288829,3189.57707008999,1722.4545491161,4590.97888487587,33.6136417344296,"age65"
6021,"08Mar2001",11160575.1745048,22690018.2792402,3521.33372935411,407.139031854041,4781.5573253713,109.501915630954,"age65"
36059,"09Jun2008",29212205.2659698,7437291.63224966,2376.36858585887,1178.03745217457,3591.80515705493,33.2341610745719,"age65"
36007,"11Oct2012",17958836.6872206,19212862.8779124,4732.24214973953,2260.94456376475,3740.01275648151,46.9226586618638,"age65"
22011,"10Jan2005",35888024.4436426,18471629.6805582,2910.24435067917,2353.32936804816,4739.29092036304,4.99445546444356,"age65"
8051,"01Jan1999",38145610.7753406,13715749.9532493,4135.57022038817,249.996386065971,3271.25455916722,113.344450536098,"age65"
5139,"16Jul2008",18369023.3145987,17438266.8236399,4146.44630116506,1177.70463552468,5565.88382499809,45.3379274966756,"age65"
12111,"14Jan2013",21709062.74433,5396009.37721882,1652.79917897755,1070.47504349208,4914.71122081779,953.986021184746,"age65"
26033,"18Dec2007",30440946.37391,11934393.4518583,5287.26663490179,2820.08086767174,2952.04055392778,15.4707622343184,"age65"
6011,"27Oct2003",40170233.5200175,8588088.0543269,3380.13784026964,1209.62856007393,2839.56064748983,86.5256653307446,"age65"
32007,"11Feb2000",26797457.3696993,7943196.15240997,3822.66431409277,2085.06641747508,3590.30091713726,29.5401871608835,"age65"
13127,"25Aug2008",31312432.2948974,19919264.0234545,2300.20154727917,2041.69671720032,3903.31951495434,38.2189152192679,"age65"
21111,"03Aug2003",43995938.9384243,8494415.17433148,3010.71274368219,1464.49504681237,3603.3950001887,279.667987699206,"age65"
37111,"27Mar2002",23051332.7720824,18475496.7750822,3502.08148736704,1065.06837948909,3432.02544043047,31.1569289962351,"age65"
54089,"10Sep2002",22575314.3450831,13066297.0049694,2745.31619244596,2744.31619244596,5958.79536036351,102.467171422557,"age65"
36087,"02Mar2006",39746589.0085608,8275431.54807064,2240.90602215757,2239.90602215757,3888.95011782096,292.445488054388,"age65"
37191,"05Jan2013",22502864.0660161,8531171.11550033,4954.84193458983,1674.92773349833,3976.49111094332,20.3542250517332,"age65"
37179,"17Aug2012",17076936.6707338,7326664.90499471,4452.56465772207,1726.53253593225,3023.9734096687,94.5773260449161,"age65"
13127,"22Jan2003",38323852.2200887,26604666.0148382,3073.60453551079,2404.07300160663,5546.89243418627,8.90963301346542,"age65"
12045,"04Jul2008",26354334.7555198,30575405.7792483,3324.3341356389,995.469343022386,3507.6669987416,1032.87831128951,"age65"
48215,"20Mar2006",29787807.0211624,12017882.5876246,3763.07192024203,492.113773119333,4450.03319993427,69.3585387780485,"age65"
10005,"05Mar2009",25117025.8960282,16684719.371364,949.53086772433,948.53086772433,4709.45786699682,200.39270093334,"age65"
53033,"09Jul2006",27485631.309388,12814275.3936078,1960.05593123736,1135.21480212408,5699.18819174818,26.6009930979138,"age65"
